Reference, Quantity, Value, Footprint, Datasheet
A1 ,1,"Sparkfun_Pro_Micro_3V3","Module:Sparkfun_Pro_Micro","https://www.sparkfun.com/products/12587"
C1 ,1,"4,7Âµ","Capacitor_SMD:C_0603_1608Metric","~"
C2 ,1,"100nF","Capacitor_SMD:C_0402_1005Metric","~"
C3 C5 ,2,"DNP","Capacitor_SMD:C_0402_1005Metric","~"
C4 C7 C8 ,3,"100n","Capacitor_SMD:C_0402_1005Metric","~"
C6 ,1,"10n","Capacitor_SMD:C_0402_1005Metric","~"
D1 ,1,"LED","LED_SMD:LED_0603_1608Metric","~"
J1 ,1,"uFL","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","~"
J2 ,1,"Coax","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","~"
JP1 JP2 ,2,"SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP3 ,1,"Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP4 ,1,"Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
L1 ,1,"27n","Inductor_SMD:L_0402_1005Metric","~"
LOGO1 ,1,"Logo_Open_Hardware_Small","Symbol:OSHW-Logo2_9.8x8mm_SilkScreen","~"
R1 ,1,"1k","Resistor_SMD:R_0402_1005Metric","~"
R2 ,1,"10","Resistor_SMD:R_0402_1005Metric","~"
R3 ,1,"0","Resistor_SMD:R_0402_1005Metric","~"
R4 R5 ,2,"4k7","Resistor_SMD:R_0402_1005Metric","~"
TP1 ,1,"FSYNC","TestPoint:TestPoint_Pad_D1.0mm","~"
TP2 ,1,"AUX_SDA","TestPoint:TestPoint_Pad_D1.0mm","~"
TP3 ,1,"AUX_SCL","TestPoint:TestPoint_Pad_D1.0mm","~"
TP4 TP5 ,2,"TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
U1 ,1,"MAX-8C","RF_GPS:ublox_MAX","https://www.u-blox.com/sites/default/files/MAX-8_DataSheet_%28UBX-16000093%29.pdf"
U2 ,1,"MPU-9250","Sensor_Motion:InvenSense_QFN-24_3x3mm_P0.4mm","https://store.invensense.com/datasheets/invensense/MPU9250REV1.0.pdf"